Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.BO,RELIANCE.BO,RELIANCE.BO,RELIANCE.BO,RELIANCE.BO
Date,,,,,
2020-04-23,662.94580078125,669.8821887185527,654.607619911052,662.0757061317373,2930426
2020-04-24,685.1083984375,722.6423066332924,651.586507920855,654.9217919064096,4904136
2020-04-27,691.3681030273438,712.7573483007571,687.8152659300991,696.0567953381995,2305534
2020-04-28,690.3046264648438,703.1865223145236,672.8306893970935,701.5672353702968,2603096
2020-04-29,689.38623046875,702.3648367264145,686.6310292439806,698.9570350487828,1285934
2020-04-30,709.132080078125,722.4006396532423,696.0568224159712,702.8240415227931,2554254
2020-05-04,693.8333129882812,708.0928102608339,686.2685170409013,697.0235615939283,1957714
2020-05-05,706.2076416015625,714.8117008098463,699.4404225855311,701.3981059744984,1313120
2020-05-06,706.5218505859375,717.3252206456459,698.9570546183315,706.6910192614113,1380266
2020-05-07,728.5635986328125,731.6813293588282,698.4253185946246,700.8905078902492,1983646
2020-05-08,754.931640625,763.5839662882844,743.2339838028748,749.2278181491615,2864732
2020-05-11,762.1580810546875,780.5745733843584,759.8620601984898,764.6957883168008,2132702
2020-05-12,715.5125732421875,762.7622635204674,703.3074102802789,762.7622635204674,5731294
2020-05-13,723.3190307617188,741.856364842168,702.8240133445266,741.856364842168,2979114
2020-05-14,693.857421875,723.3190277278486,691.2472561109116,711.5247202914891,1591910
2020-05-15,705.1925659179688,709.1078736647174,684.2383675463522,698.8120097700573,1907814
2020-05-18,696.3710327148438,716.3584860959828,690.2563550236596,711.4281071622869,2616038
2020-05-19,680.661376953125,706.6426633053757,678.6553681592536,706.6426633053757,1428670
2020-05-20,693.4708251953125,698.8845771551184,673.6525396558687,680.2505904231436,1815744
2020-05-21,696.0809936523438,706.1351120472261,688.9753784013245,695.0900558537038,1117646
2020-05-22,691.9964599609375,704.9991995424153,689.6763060205055,703.210743858824,1158588
2020-05-26,688.1777954101562,700.4071502064229,684.6008840834539,695.7667833726081,937442
2020-05-27,699.4161987304688,702.8723258013902,682.6189951463367,693.1565450257622,1255066
2020-05-28,711.8389892578125,715.0050457992158,701.1564618256921,703.3074472546261,1283694
2020-05-29,708.23779296875,711.2830651679866,702.3406684941111,710.8963433312535,1180480
2020-06-01,734.9441528320312,744.0073928650094,713.2890867165169,715.391746603074,2033958
2020-06-02,742.5089111328125,744.3940767646734,735.2099939993949,735.2099939993949,837100
2020-06-03,745.5783081054688,753.578151079279,741.1313022080209,746.8109322754882,889056
2020-06-04,763.704833984375,768.0793814393164,744.3941141702626,744.3941141702626,1421436
2020-06-05,764.0189819335938,781.9520997462911,760.9737689118892,774.3148454488182,1316812
2020-06-08,758.9193725585938,784.9973075412946,756.5025089270011,784.9973075412946,2223880
2020-06-09,742.9923095703125,764.8649284903933,741.0346851586469,763.7290142260241,1009268
2020-06-10,759.8619384765625,763.2455476173615,744.6840228153151,744.925709182515,843222
2020-06-11,743.1856079101562,758.4118496331936,740.0194927750855,758.4118496331936,661820
